Day,Date,CodedDay,Zone,Weather,Temperature,Traffic
Wednesday,01-06-18,3,2,35,17,2
Wednesday,01-06-18,3,3,36,16,3
Wednesday,01-06-18,3,4,27,25,5
Wednesday,01-06-18,3,5,23,23,3
Wednesday,01-06-18,3,6,18,42,2
Wednesday,01-06-18,3,7,11,14,2
Wednesday,01-06-18,3,8,45,28,4
Wednesday,01-06-18,3,9,39,18,5
Wednesday,01-06-18,3,10,25,9,4
Wednesday,01-06-18,3,11,39,7,5
Wednesday,01-06-18,3,12,22,29,2
Wednesday,01-06-18,3,13,16,29,2
Wednesday,01-06-18,3,14,20,25,1
Wednesday,01-06-18,3,15,39,31,3
Wednesday,01-06-18,3,16,40,44,1
Wednesday,01-06-18,3,17,4,34,4
Wednesday,01-06-18,3,18,40,45,4
Wednesday,01-06-18,3,19,5,32,4
Wednesday,01-06-18,3,20,24,40,1
Wednesday,01-06-18,3,21,5,16,2
Wednesday,01-06-18,3,22,9,34,2
Wednesday,01-06-18,3,23,31,33,5
Wednesday,01-06-18,3,24,8,23,2
Wednesday,01-06-18,3,25,5,34,4
Wednesday,01-06-18,3,26,20,37,2
Wednesday,01-06-18,3,27,30,35,5
Wednesday,01-06-18,3,28,11,8,4
Wednesday,01-06-18,3,29,28,37,1
Wednesday,01-06-18,3,30,8,18,5
Wednesday,01-06-18,3,31,44,34,2
Wednesday,01-06-18,3,32,1,20,2
Wednesday,01-06-18,3,33,36,39,4
Wednesday,01-06-18,3,34,39,40,1
Wednesday,01-06-18,3,35,5,27,1
Wednesday,01-06-18,3,36,27,45,1
Wednesday,01-06-18,3,37,44,24,4
Wednesday,01-06-18,3,38,7,34,2
Wednesday,01-06-18,3,39,18,19,4
Wednesday,01-06-18,3,40,31,26,1
Wednesday,01-06-18,3,41,30,38,5
Wednesday,01-06-18,3,42,1,44,5
Wednesday,01-06-18,3,43,22,32,1
Wednesday,01-06-18,3,44,10,11,3
Wednesday,01-06-18,3,45,17,43,1
Wednesday,01-06-18,3,46,7,35,5
Wednesday,01-06-18,3,47,45,6,4
Wednesday,01-06-18,3,48,15,29,4
Wednesday,01-06-18,3,49,2,6,1
Wednesday,01-06-18,3,50,2,12,3
Wednesday,01-06-18,3,51,20,32,3
Wednesday,01-06-18,3,52,9,40,4
Wednesday,01-06-18,3,53,23,24,5
Wednesday,01-06-18,3,54,14,26,4
Wednesday,01-06-18,3,55,47,36,5
Wednesday,01-06-18,3,56,10,29,1
Wednesday,01-06-18,3,57,9,22,3
Wednesday,01-06-18,3,58,8,26,2
Wednesday,01-06-18,3,59,21,25,4
Wednesday,01-06-18,3,60,30,17,2
Wednesday,01-06-18,3,61,1,19,4
Wednesday,01-06-18,3,62,8,44,2
Wednesday,01-06-18,3,63,34,32,1
Wednesday,01-06-18,3,64,14,28,5
Wednesday,01-06-18,3,65,30,30,2
Wednesday,01-06-18,3,66,8,14,4
Wednesday,01-06-18,3,67,42,28,1
Wednesday,01-06-18,3,68,22,26,2
Wednesday,01-06-18,3,69,42,26,3
Wednesday,01-06-18,3,70,28,35,4
Wednesday,01-06-18,3,71,14,9,4
Wednesday,01-06-18,3,72,24,20,5
Wednesday,01-06-18,3,73,29,24,5
Wednesday,01-06-18,3,74,35,13,3
Wednesday,01-06-18,3,75,34,16,1
Wednesday,01-06-18,3,76,10,12,5
Wednesday,01-06-18,3,77,3,16,2
Wednesday,01-06-18,3,78,16,15,2
Wednesday,01-06-18,3,79,23,21,5
Wednesday,01-06-18,3,80,32,17,3
Wednesday,01-06-18,3,81,31,29,5
Wednesday,01-06-18,3,82,17,30,5
Wednesday,01-06-18,3,83,12,27,2
Wednesday,01-06-18,3,84,13,31,4
Wednesday,01-06-18,3,85,6,26,5
Wednesday,01-06-18,3,86,12,28,3
Wednesday,01-06-18,3,87,7,14,5
Wednesday,01-06-18,3,88,0,25,4
Wednesday,01-06-18,3,89,46,30,4
Wednesday,01-06-18,3,90,31,37,4
Wednesday,01-06-18,3,91,27,25,5
Wednesday,01-06-18,3,92,38,34,4
Wednesday,01-06-18,3,93,41,23,5
Wednesday,01-06-18,3,94,43,27,1
Wednesday,01-06-18,3,95,2,8,3
Wednesday,01-06-18,3,96,13,44,2
Wednesday,01-06-18,3,97,10,41,1
Wednesday,01-06-18,3,98,13,21,4
Wednesday,01-06-18,3,99,36,12,4
Wednesday,01-06-18,3,100,8,18,3
Wednesday,01-06-18,3,101,20,12,1
Wednesday,01-06-18,3,102,9,7,4
Wednesday,01-06-18,3,103,39,34,5
Wednesday,01-06-18,3,104,35,11,1
Wednesday,01-06-18,3,105,10,36,2
Wednesday,01-06-18,3,106,29,33,1
Wednesday,01-06-18,3,107,2,35,3
Wednesday,01-06-18,3,108,13,32,4
Wednesday,01-06-18,3,109,3,15,4
Wednesday,01-06-18,3,110,18,10,2
Wednesday,01-06-18,3,111,44,20,2
Wednesday,01-06-18,3,112,18,15,3
Wednesday,01-06-18,3,113,38,10,2
Wednesday,01-06-18,3,114,5,25,1
Wednesday,01-06-18,3,115,23,19,4
Wednesday,01-06-18,3,116,0,23,5
Wednesday,01-06-18,3,117,9,24,4
Wednesday,01-06-18,3,118,37,10,2
Wednesday,01-06-18,3,119,23,7,1
Wednesday,01-06-18,3,120,2,21,5
Wednesday,01-06-18,3,121,12,28,5
Wednesday,01-06-18,3,122,15,8,3
Wednesday,01-06-18,3,123,4,41,3
Wednesday,01-06-18,3,124,11,12,2
Wednesday,01-06-18,3,125,41,10,5
Wednesday,01-06-18,3,126,46,42,4
Wednesday,01-06-18,3,127,43,26,2
Wednesday,01-06-18,3,128,23,34,5
Wednesday,01-06-18,3,129,35,39,5
Wednesday,01-06-18,3,130,27,18,1
Wednesday,01-06-18,3,131,30,7,5
Wednesday,01-06-18,3,132,24,10,4
Wednesday,01-06-18,3,133,14,35,2
Wednesday,01-06-18,3,134,45,29,3
Wednesday,01-06-18,3,135,35,26,4
Wednesday,01-06-18,3,136,43,15,1
Wednesday,01-06-18,3,137,26,7,2
Wednesday,01-06-18,3,138,28,32,4
Wednesday,01-06-18,3,139,30,34,3
Wednesday,01-06-18,3,140,41,41,2
Wednesday,01-06-18,3,141,43,16,2
Wednesday,01-06-18,3,142,7,18,5
Wednesday,01-06-18,3,143,37,10,2
Wednesday,01-06-18,3,144,31,43,1
Thursday,02-06-18,4,1,1,27,3
Thursday,02-06-18,4,2,35,32,3
Thursday,02-06-18,4,3,42,25,5
Thursday,02-06-18,4,4,8,10,5
Thursday,02-06-18,4,5,42,18,5
Thursday,02-06-18,4,6,31,37,2
Thursday,02-06-18,4,7,25,35,3
Thursday,02-06-18,4,8,34,13,3
Thursday,02-06-18,4,9,38,19,3
Thursday,02-06-18,4,10,19,12,4
Thursday,02-06-18,4,11,25,36,3
Thursday,02-06-18,4,12,34,40,2
Thursday,02-06-18,4,13,24,24,5
Thursday,02-06-18,4,14,38,39,1
Thursday,02-06-18,4,15,5,24,2
Thursday,02-06-18,4,16,43,7,3
Thursday,02-06-18,4,17,38,37,3
Thursday,02-06-18,4,18,22,33,4
Thursday,02-06-18,4,19,27,9,4
Thursday,02-06-18,4,20,31,24,4
Thursday,02-06-18,4,21,31,35,5
Thursday,02-06-18,4,22,16,41,1
Thursday,02-06-18,4,23,13,21,1
Thursday,02-06-18,4,24,34,44,1
Thursday,02-06-18,4,25,24,29,4
Thursday,02-06-18,4,26,8,36,2
Thursday,02-06-18,4,27,32,36,5
Thursday,02-06-18,4,28,43,20,2
Thursday,02-06-18,4,29,30,44,1
Thursday,02-06-18,4,30,1,8,2
Thursday,02-06-18,4,31,16,20,5
Thursday,02-06-18,4,32,22,40,5
Thursday,02-06-18,4,33,5,8,5
Thursday,02-06-18,4,34,25,11,1
Thursday,02-06-18,4,35,32,8,2
Thursday,02-06-18,4,36,11,28,4
Thursday,02-06-18,4,37,14,40,1
Thursday,02-06-18,4,38,42,11,1
Thursday,02-06-18,4,39,20,44,2
Thursday,02-06-18,4,40,6,30,5
Thursday,02-06-18,4,41,26,38,1
Thursday,02-06-18,4,42,31,44,5
Thursday,02-06-18,4,43,38,40,5
Thursday,02-06-18,4,44,26,16,3
Thursday,02-06-18,4,45,40,34,4
Thursday,02-06-18,4,46,26,7,3
Thursday,02-06-18,4,47,14,21,5
Thursday,02-06-18,4,48,44,35,5
Thursday,02-06-18,4,49,32,21,1
Thursday,02-06-18,4,50,18,9,2
Thursday,02-06-18,4,51,17,33,4
Thursday,02-06-18,4,52,0,35,5
Thursday,02-06-18,4,53,22,20,1
Thursday,02-06-18,4,54,8,19,5
Thursday,02-06-18,4,55,32,32,2
Thursday,02-06-18,4,56,38,7,4
Thursday,02-06-18,4,57,22,6,3
Thursday,02-06-18,4,58,44,44,2
Thursday,02-06-18,4,59,5,32,5
Thursday,02-06-18,4,60,22,25,2
Thursday,02-06-18,4,61,46,8,4
Thursday,02-06-18,4,62,31,7,5
Thursday,02-06-18,4,63,45,20,2
Thursday,02-06-18,4,64,33,12,3
Thursday,02-06-18,4,65,25,6,2
Thursday,02-06-18,4,66,38,7,1
Thursday,02-06-18,4,67,22,41,1
Thursday,02-06-18,4,68,40,9,5
Thursday,02-06-18,4,69,13,32,4
Thursday,02-06-18,4,70,31,21,3
Thursday,02-06-18,4,71,14,13,4
Thursday,02-06-18,4,72,43,12,2
Thursday,02-06-18,4,73,8,40,5
Thursday,02-06-18,4,74,28,12,5
Thursday,02-06-18,4,75,31,15,3
Thursday,02-06-18,4,76,27,17,3
Thursday,02-06-18,4,77,21,19,1
Thursday,02-06-18,4,78,10,31,5
Thursday,02-06-18,4,79,6,20,4
Thursday,02-06-18,4,80,27,14,5
Thursday,02-06-18,4,81,28,40,3
Thursday,02-06-18,4,82,2,31,1
Thursday,02-06-18,4,83,8,22,3
Thursday,02-06-18,4,84,46,34,1
Thursday,02-06-18,4,85,40,43,4
Thursday,02-06-18,4,86,16,18,1
Thursday,02-06-18,4,87,20,10,2
Thursday,02-06-18,4,88,20,27,2
Thursday,02-06-18,4,89,4,6,5
Thursday,02-06-18,4,90,44,12,2
Thursday,02-06-18,4,91,1,42,4
Thursday,02-06-18,4,92,26,37,4
Thursday,02-06-18,4,93,8,20,2
Thursday,02-06-18,4,94,21,33,2
Thursday,02-06-18,4,95,39,23,3
Thursday,02-06-18,4,96,25,6,5
Thursday,02-06-18,4,97,38,39,1
Thursday,02-06-18,4,98,29,18,4
Thursday,02-06-18,4,99,28,39,3
Thursday,02-06-18,4,100,0,34,3
Thursday,02-06-18,4,101,32,6,3
Thursday,02-06-18,4,102,45,32,2
Thursday,02-06-18,4,103,22,18,3
Thursday,02-06-18,4,104,47,6,4
Thursday,02-06-18,4,105,14,27,1
Thursday,02-06-18,4,106,23,8,2
Thursday,02-06-18,4,107,18,41,5
Thursday,02-06-18,4,108,15,27,2
Thursday,02-06-18,4,109,47,39,2
Thursday,02-06-18,4,110,8,45,1
Thursday,02-06-18,4,111,26,43,2
Thursday,02-06-18,4,112,44,31,4
Thursday,02-06-18,4,113,10,37,5
Thursday,02-06-18,4,114,7,20,1
Thursday,02-06-18,4,115,25,31,1
Thursday,02-06-18,4,116,39,18,1
Thursday,02-06-18,4,117,27,33,5
Thursday,02-06-18,4,118,7,19,1
Thursday,02-06-18,4,119,47,9,2
Thursday,02-06-18,4,120,47,19,3
Thursday,02-06-18,4,121,44,16,3
Thursday,02-06-18,4,122,14,18,1
Thursday,02-06-18,4,123,29,8,5
Thursday,02-06-18,4,124,16,10,3
Thursday,02-06-18,4,125,9,42,5
Thursday,02-06-18,4,126,13,17,1
Thursday,02-06-18,4,127,12,39,5
Thursday,02-06-18,4,128,13,19,3
Thursday,02-06-18,4,129,32,9,4
Thursday,02-06-18,4,130,39,15,3
Thursday,02-06-18,4,131,24,9,2
Thursday,02-06-18,4,132,6,9,4
Thursday,02-06-18,4,133,27,38,4
Thursday,02-06-18,4,134,47,30,1
Thursday,02-06-18,4,135,43,21,3
Thursday,02-06-18,4,136,17,10,5
Thursday,02-06-18,4,137,21,35,1
Thursday,02-06-18,4,138,35,27,3
Thursday,02-06-18,4,139,6,44,1
Thursday,02-06-18,4,140,45,7,5
Thursday,02-06-18,4,141,0,6,1
Thursday,02-06-18,4,142,33,13,2
Thursday,02-06-18,4,143,18,45,4
Thursday,02-06-18,4,144,12,42,3
Friday,03-06-18,5,1,32,32,4
Friday,03-06-18,5,2,7,20,3
Friday,03-06-18,5,3,1,24,3
Friday,03-06-18,5,4,37,27,3
Friday,03-06-18,5,5,13,17,1
Friday,03-06-18,5,6,39,6,3
Friday,03-06-18,5,7,6,19,3
Friday,03-06-18,5,8,2,25,4
Friday,03-06-18,5,9,3,30,2
Friday,03-06-18,5,10,27,10,3
Friday,03-06-18,5,11,19,11,3
Friday,03-06-18,5,12,3,15,5
Friday,03-06-18,5,13,40,15,1
Friday,03-06-18,5,14,32,28,3
Friday,03-06-18,5,15,36,7,3
Friday,03-06-18,5,16,42,33,1
Friday,03-06-18,5,17,13,12,1
Friday,03-06-18,5,18,0,32,1
Friday,03-06-18,5,19,18,27,3
Friday,03-06-18,5,20,12,40,1
Friday,03-06-18,5,21,14,20,4
Friday,03-06-18,5,22,23,43,1
Friday,03-06-18,5,23,14,10,5
Friday,03-06-18,5,24,22,26,3
Friday,03-06-18,5,25,21,25,5
Friday,03-06-18,5,26,39,45,2
Friday,03-06-18,5,27,22,7,4
Friday,03-06-18,5,28,27,29,3
Friday,03-06-18,5,29,39,13,2
Friday,03-06-18,5,30,41,22,3
Friday,03-06-18,5,31,11,39,2
Friday,03-06-18,5,32,33,42,1
Friday,03-06-18,5,33,33,22,3
Friday,03-06-18,5,34,4,27,2
Friday,03-06-18,5,35,27,13,4
Friday,03-06-18,5,36,44,25,2
Friday,03-06-18,5,37,42,32,1
Friday,03-06-18,5,38,19,18,1
Friday,03-06-18,5,39,25,23,4
Friday,03-06-18,5,40,34,30,2
Friday,03-06-18,5,41,2,6,3
Friday,03-06-18,5,42,37,23,2
Friday,03-06-18,5,43,13,42,2
Friday,03-06-18,5,44,25,34,3
Friday,03-06-18,5,45,36,29,5
Friday,03-06-18,5,46,33,31,2
Friday,03-06-18,5,47,0,38,5
Friday,03-06-18,5,48,5,11,5
Friday,03-06-18,5,49,13,32,2
Friday,03-06-18,5,50,26,22,4
Friday,03-06-18,5,51,4,27,5
Friday,03-06-18,5,52,33,22,3
Friday,03-06-18,5,53,1,28,3
Friday,03-06-18,5,54,32,35,1
Friday,03-06-18,5,55,6,35,4
Friday,03-06-18,5,56,26,11,5
Friday,03-06-18,5,57,25,38,5
Friday,03-06-18,5,58,26,24,2
Friday,03-06-18,5,59,10,22,5
Friday,03-06-18,5,60,9,19,1
Friday,03-06-18,5,61,35,35,1
Friday,03-06-18,5,62,25,6,3
Friday,03-06-18,5,63,41,22,1
Friday,03-06-18,5,64,24,32,1
Friday,03-06-18,5,65,6,35,2
Friday,03-06-18,5,66,25,15,4
Friday,03-06-18,5,67,41,30,2
Friday,03-06-18,5,68,32,13,5
Friday,03-06-18,5,69,42,40,1
Friday,03-06-18,5,70,36,16,2
Friday,03-06-18,5,71,17,44,5
Friday,03-06-18,5,72,15,20,3
Friday,03-06-18,5,73,16,40,2
Friday,03-06-18,5,74,41,30,1
Friday,03-06-18,5,75,40,39,2
Friday,03-06-18,5,76,0,31,2
Friday,03-06-18,5,77,40,44,5
Friday,03-06-18,5,78,34,32,3
Friday,03-06-18,5,79,2,19,2
Friday,03-06-18,5,80,32,14,5
Friday,03-06-18,5,81,39,37,4
Friday,03-06-18,5,82,35,27,3
Friday,03-06-18,5,83,3,22,4
Friday,03-06-18,5,84,14,22,1
Friday,03-06-18,5,85,39,40,2
Friday,03-06-18,5,86,2,14,5
Friday,03-06-18,5,87,9,41,1
Friday,03-06-18,5,88,30,33,2
Friday,03-06-18,5,89,38,26,5
Friday,03-06-18,5,90,22,9,2
Friday,03-06-18,5,91,24,42,1
Friday,03-06-18,5,92,37,36,1
Friday,03-06-18,5,93,30,12,1
Friday,03-06-18,5,94,21,34,5
Friday,03-06-18,5,95,23,20,5
Friday,03-06-18,5,96,6,27,5
Friday,03-06-18,5,97,22,18,5
Friday,03-06-18,5,98,13,9,5
Friday,03-06-18,5,99,35,37,5
Friday,03-06-18,5,100,24,21,1
Friday,03-06-18,5,101,26,33,2
Friday,03-06-18,5,102,4,25,2
Friday,03-06-18,5,103,19,18,2
Friday,03-06-18,5,104,1,36,5
Friday,03-06-18,5,105,23,19,3
Friday,03-06-18,5,106,35,34,3
Friday,03-06-18,5,107,27,11,5
Friday,03-06-18,5,108,24,21,1
Friday,03-06-18,5,109,46,42,1
Friday,03-06-18,5,110,22,44,1
Friday,03-06-18,5,111,28,12,1
Friday,03-06-18,5,112,26,33,1
Friday,03-06-18,5,113,32,30,4
Friday,03-06-18,5,114,36,33,2
Friday,03-06-18,5,115,30,13,5
Friday,03-06-18,5,116,3,39,4
Friday,03-06-18,5,117,46,9,4
Friday,03-06-18,5,118,15,41,3
Friday,03-06-18,5,119,42,34,2
Friday,03-06-18,5,120,23,44,1
Friday,03-06-18,5,121,30,7,1
Friday,03-06-18,5,122,1,10,5
Friday,03-06-18,5,123,26,27,2
Friday,03-06-18,5,124,3,18,5
Friday,03-06-18,5,125,26,20,1
Friday,03-06-18,5,126,1,40,4
Friday,03-06-18,5,127,13,12,1
Friday,03-06-18,5,128,31,7,3
Friday,03-06-18,5,129,22,38,3
Friday,03-06-18,5,130,35,13,2
Friday,03-06-18,5,131,7,19,2
Friday,03-06-18,5,132,41,34,4
Friday,03-06-18,5,133,19,41,2
Friday,03-06-18,5,134,5,29,4
Friday,03-06-18,5,135,38,45,5
Friday,03-06-18,5,136,25,24,1
Friday,03-06-18,5,137,25,32,2
Friday,03-06-18,5,138,27,20,2
Friday,03-06-18,5,139,0,36,2
Friday,03-06-18,5,140,27,35,1
Friday,03-06-18,5,141,39,28,5
Friday,03-06-18,5,142,39,21,1
Friday,03-06-18,5,143,29,9,2
Friday,03-06-18,5,144,37,22,2
Saturday,04-06-18,6,1,2,40,3
Saturday,04-06-18,6,2,10,43,1
Saturday,04-06-18,6,3,15,30,5
Saturday,04-06-18,6,4,11,35,1
Saturday,04-06-18,6,5,4,6,4
Saturday,04-06-18,6,6,39,44,1
Saturday,04-06-18,6,7,27,15,5
Saturday,04-06-18,6,8,24,15,1
Saturday,04-06-18,6,9,5,29,4
Saturday,04-06-18,6,10,13,35,4
Saturday,04-06-18,6,11,15,38,2
Saturday,04-06-18,6,12,28,36,2
Saturday,04-06-18,6,13,25,40,1
Saturday,04-06-18,6,14,24,21,4
Saturday,04-06-18,6,15,11,6,3
Saturday,04-06-18,6,16,42,29,3
Saturday,04-06-18,6,17,3,39,3
Saturday,04-06-18,6,18,45,32,5
Saturday,04-06-18,6,19,9,21,3
Saturday,04-06-18,6,20,33,10,5
Saturday,04-06-18,6,21,3,26,3
Saturday,04-06-18,6,22,0,15,1
Saturday,04-06-18,6,23,21,24,4
Saturday,04-06-18,6,24,16,42,1
Saturday,04-06-18,6,25,8,37,3
Saturday,04-06-18,6,26,3,36,4
Saturday,04-06-18,6,27,46,36,2
Saturday,04-06-18,6,28,29,25,4
Saturday,04-06-18,6,29,5,14,2
Saturday,04-06-18,6,30,46,44,3
Saturday,04-06-18,6,31,26,24,4
Saturday,04-06-18,6,32,22,11,4
Saturday,04-06-18,6,33,28,37,2
Saturday,04-06-18,6,34,7,17,3
Saturday,04-06-18,6,35,0,25,1
Saturday,04-06-18,6,36,40,38,2
Saturday,04-06-18,6,37,7,13,3
Saturday,04-06-18,6,38,31,15,4
Saturday,04-06-18,6,39,13,17,3
Saturday,04-06-18,6,40,33,44,2
Saturday,04-06-18,6,41,16,35,2
Saturday,04-06-18,6,42,40,35,3
